frame,tracker_id,dy_norm,ar,crumple,torso_lean,bbox_w,bbox_h
1,1,0.0,0.0,0.0,0.0,287.9,1056.1
1,2,0.0,0.0,0.0,0.0,214.8,1050.8
2,2,0.0,0.0,0.0,0.0,217.2,1052.3
2,1,0.0,0.0,0.0,0.0,275.5,1057.9
3,2,0.0,0.0,0.0,0.0,212.2,1047.4
3,1,0.0,0.0,0.0,0.0,272.7,1058.0
4,2,-0.0018,0.204,0.3767,3.61,212.7,1041.9
4,1,-0.0012,0.268,0.3721,7.19,282.8,1055.4
5,1,0.0007,0.273,0.3696,7.73,289.3,1059.0
5,2,-0.0002,0.211,0.377,2.82,218.4,1033.8
6,2,0.001,0.233,0.3763,2.58,241.1,1032.9
6,1,0.0012,0.263,0.3719,7.41,278.0,1055.2
7,2,0.0029,0.258,0.3611,1.64,265.8,1032.3
7,1,0.0017,0.258,0.3759,7.16,271.8,1055.0
8,2,0.0049,0.259,0.3602,0.82,266.0,1025.4
8,1,0.0014,0.253,0.3744,6.4,265.7,1050.7
9,1,0.0013,0.286,0.3602,3.74,299.7,1049.7
9,2,0.0063,0.293,0.3606,1.88,299.3,1022.0
10,1,-0.0002,0.303,0.3546,2.96,318.3,1051.1
10,2,0.0054,0.368,0.3628,2.65,375.6,1020.0
11,1,-0.0014,0.32,0.3516,2.16,336.3,1051.7
11,2,0.0045,0.401,0.3602,4.16,405.8,1011.8
12,1,-0.0027,0.321,0.3511,2.15,337.4,1049.5
12,2,0.0044,0.437,0.3588,9.07,440.3,1008.2
13,2,0.0054,0.471,0.3601,12.22,470.8,999.1
13,1,-0.0035,0.314,0.3547,2.4,328.4,1046.9
14,2,0.0075,0.593,0.3752,13.13,578.9,976.1
14,1,-0.0033,0.289,0.3548,1.89,303.0,1046.7
15,1,-0.0029,0.274,0.3567,2.15,285.8,1043.7
16,1,-0.002,0.248,0.3622,1.07,259.8,1047.8
17,2,0.0,0.0,0.0,0.0,752.7,947.1
17,1,0.0003,0.238,0.3639,0.79,249.5,1047.6
18,2,0.0,0.0,0.0,0.0,736.0,963.6
18,1,0.002,0.237,0.3595,1.32,245.9,1039.3
19,2,0.0,0.0,0.0,0.0,615.7,979.4
19,1,0.0033,0.237,0.3619,0.0,245.5,1035.8
20,2,-0.0078,0.54,0.3143,9.89,536.0,993.1
20,1,0.0025,0.232,0.3653,0.77,240.3,1034.0
21,2,-0.0106,0.416,0.3132,7.45,415.9,999.4
21,1,0.0015,0.253,0.3648,1.79,261.9,1033.2
22,2,-0.0089,0.361,0.3222,5.5,362.7,1005.5
22,1,0.0012,0.251,0.368,6.48,259.6,1032.4
23,2,-0.0069,0.344,0.3296,5.5,342.9,995.5
23,1,0.0008,0.24,0.3657,6.97,248.3,1033.5
24,1,0.0004,0.275,0.3691,7.48,281.6,1025.8
24,2,-0.0033,0.319,0.328,3.41,319.3,999.6
25,1,-0.0008,0.331,0.376,5.61,339.9,1027.2
25,2,-0.0019,0.316,0.3288,1.05,313.0,991.6
26,2,-0.0019,0.312,0.3259,0.53,309.8,992.9
