frame,id_a,id_b,dist,jerk_ab,wrist_spd_ab,head_spd_ab,cos_sim_ab,jerk_ba,wrist_spd_ba,head_spd_ba,cos_sim_ba
17,1,2,407.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0
18,1,2,388.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0
19,1,2,356.3,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0
20,1,2,350.1,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0
21,1,2,324.3,235.3,40.0,16.5,-0.606,19.8,47.6,5.7,-0.856
22,1,2,296.2,235.3,25.9,12.5,-0.412,19.8,48.2,7.5,-0.977
23,1,2,289.6,235.3,16.0,8.7,-0.478,19.8,35.7,6.2,-0.904
24,1,2,278.0,235.3,18.3,4.2,-0.793,19.8,26.7,4.5,-0.646
25,1,2,274.9,235.3,31.0,1.6,-0.457,13.7,16.8,3.4,-0.471
26,1,2,275.8,147.6,48.4,3.7,0.997,13.7,9.1,2.4,0.763
27,1,2,283.1,41.8,68.2,6.7,0.886,13.3,3.2,3.0,0.607
28,1,2,284.5,41.8,66.3,4.9,0.575,4.8,9.1,2.3,-0.322
29,1,2,280.0,41.8,86.9,5.5,-0.919,19.3,9.5,9.3,0.872
30,1,2,277.3,52.1,62.4,3.4,-0.964,19.4,9.7,4.0,0.735
31,1,2,290.0,52.1,34.8,5.2,-0.463,19.4,5.7,4.2,0.957
32,1,2,298.4,52.1,36.5,7.5,0.239,19.4,14.2,11.7,-0.864
33,1,2,306.8,59.5,145.1,5.8,-0.247,46.2,17.7,10.1,0.999
34,1,2,303.9,203.5,80.2,3.6,0.545,46.2,17.3,13.9,0.502
35,1,2,311.5,203.6,53.9,5.3,0.146,46.2,14.8,10.6,0.422
36,1,2,306.8,203.6,25.3,4.0,-0.215,46.2,3.1,9.7,-0.339
37,1,2,312.0,203.6,15.2,4.6,-0.289,46.2,12.2,10.0,0.329
38,1,2,307.5,203.5,9.1,2.8,0.046,32.6,15.4,8.5,0.965
39,1,2,307.2,90.3,84.2,3.9,0.998,15.5,10.5,11.4,0.394
41,2,1,305.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0
42,2,1,299.5,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0
43,2,1,293.1,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0
60,1,2,397.5,0.0,0.0,0.0,0.0,0.0,0.0,55.7,0.0
61,1,2,407.6,0.0,0.0,0.0,0.0,0.0,0.0,61.5,0.0
62,1,2,434.2,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0
63,1,2,438.8,0.0,0.0,0.0,0.0,0.0,0.0,61.7,0.0
64,1,2,460.8,148.5,15.6,68.3,0.643,55.6,60.0,96.1,0.981
65,1,2,473.7,55.0,111.1,68.3,0.995,55.6,72.3,94.1,1.0
115,3,4,499.0,9.5,9.8,4.7,0.7,13.3,6.1,3.8,0.943
116,3,4,483.1,9.5,6.1,3.1,-0.276,13.2,4.8,7.0,0.814
117,3,4,478.6,9.5,4.4,3.2,-0.619,13.2,5.3,4.9,1.0
118,3,4,474.5,9.5,0.2,6.2,0.992,13.2,2.9,3.0,0.997
119,3,4,468.5,9.5,4.4,10.8,0.992,5.5,4.6,5.2,0.972
120,3,4,461.4,7.6,5.4,9.9,0.999,5.1,4.5,6.4,0.897
121,3,4,455.3,4.4,2.7,7.9,0.943,4.6,3.8,5.7,0.922
122,3,4,450.0,6.1,6.3,8.1,0.919,4.6,2.4,4.4,0.999
123,3,4,449.2,6.1,8.9,8.7,0.995,5.8,6.0,6.3,0.969
124,3,4,447.2,8.9,5.3,5.1,0.427,8.5,2.2,4.7,0.92
125,3,4,443.8,8.9,6.0,5.3,0.485,8.5,3.2,2.3,0.997
126,3,4,441.1,8.9,6.2,4.3,0.2,8.5,1.0,1.3,0.522
